username, created_at, lng, lat, text
ODDRAMIRO, Fri Jan 22 03:30:52 +0000 2021, -95.446486, 29.838495, @jiggylikej 
LLCoolJoeyJ, Fri Jan 22 03:30:52 +0000 2021, -83.099288, 42.352787, Keyshia tryna get off while Ashanti not there. 
Domingo01539799, Fri Jan 22 03:30:52 +0000 2021, -118.411907, 34.020789, https://t.co/xSqN73gLay 
THE_SHU_MAN, Fri Jan 22 03:30:52 +0000 2021, -95.446486, 29.838495, @BigSDot Yes sir 
SueChainz_, Fri Jan 22 03:30:52 +0000 2021, -81.367773, 28.501678, Man who is the DJ? 
itsdaffsworld, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Oh lol 
michael_muldoon, Fri Jan 22 03:30:52 +0000 2021, -82.324702, 28.224502, @mikeoliver93 All that? I thought a census was only to count the population and the Electoral College. 
jamescurtin, Fri Jan 22 03:30:52 +0000 2021, -75.770041, 42.746617, @RepMTG @JoeBiden Stupid 
DOPEITSNICK, Fri Jan 22 03:30:52 +0000 2021, -118.194026, 33.938045, They Really Don’t, But This Is A Beautiful Custom, Nonetheless 
_sarah_rose_22, Fri Jan 22 03:30:52 +0000 2021, -71.112377, 42.378197, “Not all men” you’re right, Doug Emhoff wouldn’t do this 
iamAjayCarr, Fri Jan 22 03:30:52 +0000 2021, -83.173867, 32.678207, Oh! Keyshia can bring her ass back from a break on time but can’t get to set on time—ohh okay!  #Verzuz https://t.co/DPZCbUNubF 
_Acebby, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Aite where they at? 
JakeBullington, Fri Jan 22 03:30:52 +0000 2021, -93.389864, 41.938228, @guest_evan it’s a banger 
CoachAlan_, Fri Jan 22 03:30:52 +0000 2021, -93.475362, 31.560159, don’t ever bet against the M 😎 
Reggie_IsDead, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Lil Overdose 
Sarayaandris, Fri Jan 22 03:30:52 +0000 2021, -84.433106, 33.767195, 😭 
LAD_4_Life, Fri Jan 22 03:30:53 +0000 2021, -115.133373, 36.249124, I should have expected the abs to be sore too 💀 
CindyrellaOG, Fri Jan 22 03:30:53 +0000 2021, -95.446486, 29.838495, Bro wtf 
DefendInDallas, Fri Jan 22 03:30:53 +0000 2021, -96.835249, 33.150140, Add this to my “I haven’t had his nightmare yet, but I’m sure it’s coming in the next few nights” list. Hooray for… https://t.co/H1VKJYyFsR 
quickmancometh, Fri Jan 22 03:30:53 +0000 2021, -119.025163, 35.346902, @PreetBharara There was a drizzle. Not a drain 
LaRoderickk, Fri Jan 22 03:30:53 +0000 2021, -96.761753, 32.819858, I forgot about this one. 
Renetira14, Fri Jan 22 03:30:53 +0000 2021, -123.029015, 44.935084, 🗣 THAT ATTENTION HIT DIFFERENT WHEN IT’S FROM WHO YOU WANT🤞🏾‼️💯 
Santiagoelcuco, Fri Jan 22 03:30:53 +0000 2021, -111.928142, 33.392884, Gen Z out here LOST 
mattcdelacruz, Fri Jan 22 03:30:53 +0000 2021, -121.979527, 37.523645, a pretty girl duetted my tik tok and got 10x more views and likes than me… pretty privilege is real… https://t.co/FdmdiUXJFe 
DownPodcast, Fri Jan 22 03:30:53 +0000 2021, -103.636623, 40.260175, @UNC_BearsMBB What a game!! This team is just getting better and better #GoBears 
NicKGod2, Fri Jan 22 03:30:53 +0000 2021, -84.379910, 33.786715, https://t.co/MHgLwVbIL5 https://t.co/s6TDqZhaFJ 
cowboycosmico, Fri Jan 22 03:30:53 +0000 2021, -100.118882, 25.608331, espero que amaury traiga la chequera para que de una vez le dé su finiquito al vuce 
AsToldByMelody, Fri Jan 22 03:30:53 +0000 2021, -122.435979, 37.770657, @ricardoohlala @josie_boba Someone already did LOL https://t.co/uwSUcoy0rM 
WRIGHT_AFFAIR, Fri Jan 22 03:30:53 +0000 2021, -73.968542, 40.780709, Delete Instacarttttt 
sparksthetoby, Fri Jan 22 03:30:54 +0000 2021, -68.984705, 45.188407, @Tim_Plumer_Jr Same man!! 
Andreopolis, Fri Jan 22 03:30:54 +0000 2021, -80.233328, 25.782353, Clubhouse todavía es ñoñolandia. Como nos gusta. 
TeCarlaMarie, Fri Jan 22 03:30:54 +0000 2021, -76.069946, 36.802541, Better sang that Luther Vandross 😆 
SBThirtyThree, Fri Jan 22 03:30:54 +0000 2021, -79.420865, 38.003376, Tace Jackson Davis is filthy 
hawkeyeinmd, Fri Jan 22 03:30:54 +0000 2021, -76.324382, 39.503100, Make a freaking basket 
samevans25, Fri Jan 22 03:30:53 +0000 2021, -73.948775, 40.655138, Not @RuPaulsDragRace doing Ms @TheTinaBurner dirty with this title card ahaha https://t.co/PbUjyx56Ay 
TySmitty_, Fri Jan 22 03:30:54 +0000 2021, -73.948775, 40.655138, Not them playing it twice 😂 
JPVega79, Fri Jan 22 03:30:54 +0000 2021, -122.818486, 49.111519, @OddlyNormalOne @ThereBeDungeons There are gorgeous 
karencamp78, Fri Jan 22 03:30:54 +0000 2021, -157.799589, 21.319944, @jeeplake @lisa88798145 @RepMTG @JoeBiden https://t.co/VDMrTYpE7P 
browngirlwon, Fri Jan 22 03:30:54 +0000 2021, -81.705467, 41.495940, I wish Apple TV could have the IG comments cause it ain’t the same watching without them! 
Lori_Vassallo, Fri Jan 22 03:30:54 +0000 2021, -122.149768, 47.597856, https://t.co/7sByweMlqd 
JodyEdwards1, Fri Jan 22 03:30:54 +0000 2021, -111.963278, 40.559481, @WhyIteachtoday @Acyn He looks hideous. 
hootie1000, Fri Jan 22 03:30:54 +0000 2021, -86.006830, 34.003125, Friend of mine offered possibly the wildest scenario this afternoon. The left will destroy all women's sports by al… https://t.co/HA00n1NxpB 
MikeDrewWhat, Fri Jan 22 03:30:54 +0000 2021, -93.105649, 44.941516, @1VeryChillDude https://t.co/wwt5bdp1xv 
_itzjusszae, Fri Jan 22 03:30:54 +0000 2021, -121.873730, 37.331159, @dreaboss7 The hood can't leave you boo 
scottatious7, Fri Jan 22 03:30:54 +0000 2021, -76.142445, 43.276389, @VanCantSnipe Hbd friend 
CormorantHobo, Fri Jan 22 03:30:55 +0000 2021, -117.998733, 33.692542, @SenecaWiser Mebe change some contrast or something. Idk.But the one I have is a really good fit in the circle. 
pjlavish, Fri Jan 22 03:30:55 +0000 2021, -73.849441, 40.850347, Rowdy dropping tonight 🔥🔥🔥 
RemyRand, Fri Jan 22 03:30:55 +0000 2021, -82.324702, 28.224502, @KeyshiaCole fine as hell‼️‼️‼️ 
MiaMi_styLe1, Fri Jan 22 03:30:55 +0000 2021, -72.787274, 41.679872, Right at first 
BenjaminDelp2, Fri Jan 22 03:30:55 +0000 2021, -77.063162, 41.248342, Sue ann Brion from will try to use you for pills and will make u pay her for sex.And say she not married when she… https://t.co/ciISC9Z9Q1 
KNUJ, Fri Jan 22 03:30:55 +0000 2021, -94.724376, 44.298380, Section 3A Boy’s Hockey FinalLDC 2New Ulm 1 
Antonio_Grande, Fri Jan 22 03:30:55 +0000 2021, -73.831187, 40.670879, If they ain’t gonna eat the #Doritos, they need to send them bags my way. Those the big shits too. AND all that uno… https://t.co/eGc0jnYW9K 
_tdionne, Fri Jan 22 03:30:55 +0000 2021, -118.411907, 34.020789, I’m crying 
_xJadaM, Fri Jan 22 03:30:55 +0000 2021, -72.680966, 41.765617, Right, Keyshia. I need that ran back, too. 
AllBri_, Fri Jan 22 03:30:55 +0000 2021, -81.940298, 34.949965, Y’all I wouldn’t be able to handle no usher verse ... I’d literally be in fuckin shambles ... Honestly I’d be in a stretcher 
csIice, Fri Jan 22 03:30:55 +0000 2021, -77.118503, 38.981337, I’m literally allergic to kiwis 
RebeccaVenter, Fri Jan 22 03:30:55 +0000 2021, -84.294562, 37.592295, I need to ... cut my fingernails. 
quis__custodiet, Fri Jan 22 03:30:56 +0000 2021, -118.157400, 34.138230, 0330ZN103CG CITY OF BURBANKSquawk: 1206N34.1382 W118.1574Altitude: 1650ftCourse: 238ºGroundspeed: 84kts https://t.co/2s1RdtJGYo 
Taylor_Rae_33, Fri Jan 22 03:30:56 +0000 2021, -105.068348, 39.899287, @AdamReid_ @NHL VPN’s are your friend 
hillsje, Fri Jan 22 03:30:56 +0000 2021, -81.958201, 42.163991, @pitt_geoff @Alsadius @davidakin I’m under no illusions it will disappear tomorrow, but we can’t operate under the… https://t.co/G6lac4VLe7 
batson24, Fri Jan 22 03:30:56 +0000 2021, -94.804548, 31.336603, @deafGonzo The world has never seen such a dynamic duo before ✊🏻 
karlaamps, Fri Jan 22 03:30:56 +0000 2021, -100.293591, 25.641718, Ven que hay personas que son acumuladoras intensas y así, pues la neta me pasa lo contrario osea hago depuración de… https://t.co/7kQAlcwEEg 
Mario_art_XXX, Fri Jan 22 03:30:56 +0000 2021, -107.342056, 24.662488, Como se los dije, se me complica mucho poder responderle a todos, el teléfono es para llamada 👉🏻❤️ 
AndrewsIV, Fri Jan 22 03:30:56 +0000 2021, -75.117998, 40.004866, Joseph Robinette Biden, middle name of course honoring the famous sidekick to Batgirl #JoeBiden #imthebatman 
moreatArdmore, Fri Jan 22 03:30:56 +0000 2021, -123.552513, 48.674492, 90 degrees right? https://t.co/zHZTVXXayE 
Ken_TheNeko, Fri Jan 22 03:30:56 +0000 2021, -76.865983, 38.852764, @yasmeenaviless Hmm yea pretty much 
MBeendidtht, Fri Jan 22 03:30:56 +0000 2021, -75.765156, 44.041967, #armylife https://t.co/UF77zISKaN 
AllxEvol, Fri Jan 22 03:30:56 +0000 2021, -89.922029, 35.133521, “Where your girlfriend Dez?i know you got one” “I don’t have one auntie lol” “ Good because you know we trouble rig… https://t.co/gfb6TiRYNQ 
Angela_acosta_, Fri Jan 22 03:30:56 +0000 2021, -80.846785, 35.209059, I sometimes feel like I’m living in my own novela 
brownshhuga91, Fri Jan 22 03:30:56 +0000 2021, -122.334461, 47.307568, The audio is terrible tonight 
Pluvlaw, Fri Jan 22 03:30:56 +0000 2021, -79.780308, 34.182661, Over 400,000 Americans have died from a pandemic. The Capitol building was just taken over by a mob bent on overtur… https://t.co/2PP3cVnz9B 
ryanjhiggins, Fri Jan 22 03:30:56 +0000 2021, -100.076888, 31.168893, @sioreid21 These are good points. If there was conclusive evidence hormone therapy reduced the competitive advantag… https://t.co/0Pir4mFzrp 
_SydVicious_, Fri Jan 22 03:30:56 +0000 2021, -77.014398, 38.898603, *agrees in fake ID* 
heyu_itsDani, Fri Jan 22 03:30:56 +0000 2021, -75.117998, 40.004866, This is all I want 
KeyshaMilana, Fri Jan 22 03:30:56 +0000 2021, -83.173867, 32.678207, I’m enjoying only fans this time around. No weirdos being demanding lol I want to do more though. But I’ll keep thi… https://t.co/Neyve89T37 
Sisteridw, Fri Jan 22 03:30:56 +0000 2021, -117.104989, 32.810012, @lukenlogs @LorenaSGonzalez It would help a lot 
m_kordon, Fri Jan 22 03:30:57 +0000 2021, -81.477839, 40.515069, @LindseyGrahamSC @seanhannity @FoxNews Lindsey Graham your a haired,man pass on 
cesardz__, Fri Jan 22 03:30:57 +0000 2021, -95.446486, 29.838495, No more TT 
CoachCo_Coffer, Fri Jan 22 03:30:57 +0000 2021, -76.295896, 36.763216, @MrBigShot_Bland 🤣🤣🤣🤣🤣 
BbwEntertainmt, Fri Jan 22 03:30:57 +0000 2021, -83.099288, 42.352787, Me and my bestie pregnant and our other friend on all bs 😭😭😭😭 https://t.co/ohJaIEFGO8 
NewaHailu, Fri Jan 22 03:30:57 +0000 2021, -117.813058, 34.104390, @RepKatiePorter Porter is really whiteness at its peak. She literally demanded waiver from the Finance committee fo… https://t.co/gp3Oi0AWsH 
W7VOA, Fri Jan 22 03:30:57 +0000 2021, -77.014398, 38.898603, This after thousands of members of the @USNationalGuard were forced to leave the grounds of the US Capitol, meaning… https://t.co/5ZdiSz7c5v 
Nick_Gonzalezz, Fri Jan 22 03:30:57 +0000 2021, -73.831187, 40.670879, History of Swear Words is awesome 
flyiisexiimamii, Fri Jan 22 03:30:57 +0000 2021, -73.968542, 40.780709, When is this going to stop @NYCHA my daughter got hit on the head ahead while plaster fell on her while taking a sh… https://t.co/Y1OOEn2371 
